JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
1925,96,18,1/12/2022,ProductPage,View,179
287,100,13,1/12/2022,Checkout,Drop-off,149.71
1736,41,2,1/13/2022,Homepage,Click,237
795,64,1,1/13/2022,Homepage,View,118
252,87,19,1/13/2022,Homepage,View,208
1771,67,15,1/14/2022,Homepage,View,209
1686,70,5,1/14/2022,checkout,Purchase,33
2354,70,5,1/14/2022,Homepage,Click,276
2173,98,2,1/14/2022,ProductPage,Click,298
228,40,6,1/15/2022,Homepage,Click,174
676,67,8,1/15/2022,ProductPage,View,91
372,76,16,1/15/2022,homepage,View,231
681,81,16,1/15/2022,Homepage,Click,290
301,84,3,1/15/2022,ProductPage,View,148
1338,68,2,1/16/2022,Homepage,View,161
2516,56,9,1/17/2022,checkout,Drop-off,159
479,63,17,1/17/2022,ProductPage,Click,296
2168,84,11,1/17/2022,Homepage,View,22
3554,94,1,1/17/2022,Checkout,Drop-off,159
3740,68,19,1/18/2022,Checkout,Purchase,295
3072,73,13,1/18/2022,Checkout,Drop-off,264.5
2204,81,3,1/18/2022,ProductPage,Click,234
1059,30,12,1/19/2022,ProductPage,Click,128
3121,42,3,1/19/2022,ProductPage,View,83
1273,65,16,1/19/2022,Homepage,Click,274
2802,3,3,1/20/2022,Homepage,View,131
1139,45,14,1/20/2022,Homepage,View,250
3223,57,1,1/20/2022,ProductPage,Drop-off,161
1991,85,15,1/20/2022,Homepage,View,74
3343,95,14,1/20/2022,Homepage,View,189
1245,32,20,1/21/2022,Checkout,Purchase,20
2306,37,18,1/21/2022,Checkout,Drop-off,148.33
729,59,13,1/21/2022,ProductPage,View,139
940,84,18,1/21/2022,Homepage,View,286
2296,44,9,1/22/2022,ProductPage,View,143
2949,55,11,1/22/2022,checkout,Purchase,194
977,58,4,1/22/2022,ProductPage,View,294
3440,73,7,1/22/2022,Homepage,View,34
2993,75,16,1/22/2022,ProductPage,View,186
3010,91,17,1/22/2022,ProductPage,View,228
911,57,20,1/23/2022,Homepage,View,209
887,62,7,1/23/2022,Checkout,Drop-off,224.67
3181,97,10,1/23/2022,Homepage,Click,256
2915,75,15,1/24/2022,Checkout,Drop-off,0
3766,49,18,1/25/2022,Homepage,Click,160
875,90,17,1/25/2022,Checkout,Drop-off,160
3079,45,14,1/26/2022,Homepage,Click,29
2546,52,14,1/26/2022,Homepage,Click,243
2121,66,7,1/26/2022,ProductPage,View,282
2959,98,9,1/26/2022,Checkout,Drop-off,184.67
638,46,11,1/27/2022,Homepage,Click,244
3237,92,12,1/27/2022,ProductPage,View,17
702,13,2,1/28/2022,ProductPage,View,161
667,55,1,1/28/2022,ProductPage,View,204
734,73,12,1/28/2022,Homepage,View,175
3838,89,2,1/28/2022,ProductPage,View,104
533,33,11,1/29/2022,Checkout,Purchase,84
690,47,20,1/29/2022,Checkout,Drop-off,110.33
1352,75,13,1/29/2022,ProductPage,View,55
1282,89,12,1/29/2022,ProductPage,View,192
1727,23,1,1/30/2022,Checkout,Drop-off,127.33
3135,50,15,1/30/2022,Checkout,Purchase,235
2875,51,19,1/30/2022,Homepage,View,106
3175,91,17,1/30/2022,Homepage,Click,198
2662,92,10,1/30/2022,Homepage,View,47
575,98,20,1/30/2022,Homepage,Click,72
2783,6,8,1/31/2022,ProductPage,View,16
2199,7,15,1/31/2022,Homepage,View,122
3787,19,9,1/31/2022,ProductPage,Click,183
2054,26,1,1/31/2022,Checkout,Drop-off,147.5
2890,28,10,1/31/2022,ProductPage,View,256
325,47,7,1/31/2022,Checkout,Drop-off,147.5
1545,50,6,1/31/2022,ProductPage,Click,285
242,76,3,1/31/2022,Homepage,View,23
3332,93,16,2/1/2022,ProductPage,View,158
1092,95,16,2/1/2022,ProductPage,View,92
1746,10,19,2/2/2022,ProductPage,Click,212
207,46,3,2/2/2022,Homepage,Click,224
3432,16,17,2/3/2022,Homepage,Click,122
463,32,17,2/3/2022,ProductPage,View,185
1105,36,11,2/3/2022,Homepage,View,150
3585,47,8,2/3/2022,Homepage,Click,84
1996,74,17,2/3/2022,Checkout,Drop-off,128.2
178,93,10,2/3/2022,Homepage,View,100
3410,20,5,2/4/2022,ProductPage,Click,198
495,43,2,2/4/2022,Checkout,Drop-off,232.2
1764,52,3,2/4/2022,ProductPage,View,294
3892,61,14,2/4/2022,Homepage,View,198
1185,77,2,2/4/2022,Homepage,Click,193
2880,80,16,2/4/2022,ProductPage,View,278
3617,10,10,2/5/2022,Homepage,View,237
3130,12,1,2/5/2022,ProductPage,Drop-off,229.33
3784,31,4,2/5/2022,Homepage,View,227
1594,53,2,2/5/2022,Homepage,View,224
3255,47,10,2/6/2022,Homepage,Click,17
2532,50,6,2/6/2022,Homepage,Click,153
2982,92,16,2/6/2022,checkout,Purchase,86
1313,8,5,2/7/2022,ProductPage,View,79
110,20,18,2/7/2022,ProductPage,View,232
137,40,6,2/7/2022,ProductPage,View,85
2869,47,17,2/7/2022,ProductPage,View,24
1747,2,9,2/8/2022,Homepage,Click,288
2559,13,9,2/8/2022,Checkout,Drop-off,234.5
3918,50,16,2/8/2022,Homepage,Click,157
411,74,19,2/8/2022,Homepage,Click,231
427,98,2,2/8/2022,Homepage,View,262
1346,4,11,2/9/2022,Homepage,Click,111
2381,4,19,2/9/2022,Homepage,View,273
1593,8,20,2/9/2022,Homepage,View,252
3744,25,5,2/10/2022,ProductPage,View,120
2483,49,11,2/10/2022,ProductPage,View,287
1388,74,2,2/10/2022,ProductPage,View,233
1100,79,1,2/10/2022,Checkout,Drop-off,213.33
3365,10,10,2/11/2022,Checkout,Drop-off,104.6
1763,69,14,2/11/2022,Checkout,Purchase,126
3875,73,3,2/11/2022,Homepage,Click,74
5,91,10,2/11/2022,Homepage,Click,156
980,95,7,2/11/2022,Checkout,Purchase,119
581,99,9,2/11/2022,ProductPage,Click,48
2473,1,10,2/12/2022,checkout,Purchase,271
2038,96,13,2/12/2022,ProductPage,View,288
3801,22,15,2/13/2022,ProductPage,View,120
3500,26,5,2/13/2022,Homepage,View,280
453,49,17,2/13/2022,Homepage,View,188
3142,97,2,2/13/2022,Homepage,Click,234
1269,13,7,2/14/2022,Homepage,Click,146
3137,39,6,2/14/2022,Homepage,View,67
2918,44,4,2/14/2022,Homepage,View,289
2215,49,19,2/14/2022,Checkout,Drop-off,168.5
2419,58,14,2/14/2022,ProductPage,View,63
1026,70,16,2/14/2022,ProductPage,View,109
2897,75,13,2/14/2022,Homepage,View,242
2106,83,11,2/14/2022,Checkout,Drop-off,168.5
3794,86,17,2/14/2022,Homepage,View,254
2486,99,5,2/14/2022,Homepage,Click,178
1690,3,10,2/15/2022,ProductPage,View,85
3748,9,20,2/15/2022,Homepage,Click,39
727,48,19,2/15/2022,Homepage,View,98
643,59,16,2/15/2022,ProductPage,Click,136
1482,84,11,2/15/2022,Homepage,Click,122
1787,2,14,2/16/2022,ProductPage,View,163
505,15,11,2/16/2022,Homepage,Click,167
1156,48,1,2/16/2022,Homepage,Click,182
1726,43,14,2/17/2022,Homepage,View,166
460,45,3,2/17/2022,Homepage,Click,96
167,8,4,2/18/2022,ProductPage,View,133
3914,11,6,2/18/2022,ProductPage,View,297
503,35,9,2/18/2022,homepage,Click,239
3894,47,8,2/18/2022,Homepage,Click,91
2287,87,3,2/18/2022,Homepage,View,120
1343,97,15,2/18/2022,homepage,Click,147
2350,100,2,2/18/2022,ProductPage,View,286
2490,1,6,2/19/2022,ProductPage,View,196
1411,51,6,2/19/2022,ProductPage,View,25
1658,58,12,2/19/2022,Homepage,Click,95
2742,8,13,2/20/2022,Homepage,Click,292
354,34,3,2/21/2022,Homepage,Click,110
3528,60,13,2/21/2022,Homepage,View,290
2864,63,2,2/21/2022,Homepage,Click,233
1047,92,18,2/21/2022,ProductPage,View,98
3515,5,8,2/22/2022,Homepage,View,280
2894,28,17,2/22/2022,Checkout,Drop-off,222.33
2615,37,9,2/22/2022,Checkout,Purchase,272
3492,41,7,2/22/2022,Checkout,Drop-off,222.33
2693,41,17,2/22/2022,ProductPage,Click,133
2589,54,19,2/22/2022,Checkout,Drop-off,222.33
1977,55,5,2/22/2022,productpage,View,166
3701,70,3,2/22/2022,ProductPage,Click,205
2893,100,9,2/22/2022,homepage,View,278
38,13,18,2/23/2022,ProductPage,View,227
2332,40,8,2/23/2022,Checkout,Purchase,292
3124,70,20,2/23/2022,Homepage,View,189
2706,72,14,2/23/2022,Checkout,Drop-off,232
1704,85,1,2/23/2022,ProductPage,View,220
610,13,6,2/24/2022,Checkout,Drop-off,209
3788,44,1,2/24/2022,Checkout,Purchase,112
3786,55,2,2/24/2022,Homepage,Click,282
2714,72,18,2/24/2022,Homepage,Click,221
329,88,15,2/24/2022,Homepage,Click,221
3453,60,6,2/25/2022,ProductPage,View,10
633,30,3,2/26/2022,Checkout,Drop-off,184
886,48,9,2/26/2022,Homepage,View,237
942,59,14,2/26/2022,Checkout,Drop-off,184
2382,82,3,2/26/2022,ProductPage,View,131
3401,10,16,2/27/2022,Homepage,Click,33
539,18,1,2/27/2022,productpage,View,139
1190,23,9,2/27/2022,homepage,Click,49
1389,35,7,2/27/2022,Homepage,View,207
2746,80,7,2/27/2022,Checkout,Purchase,144
1413,7,7,2/28/2022,Homepage,View,173
3027,93,19,2/28/2022,Checkout,Drop-off,173
972,100,9,2/28/2022,Checkout,Drop-off,173
2791,36,20,3/1/2022,Checkout,Drop-off,172.75
1263,37,2,3/1/2022,ProductPage,View,84
669,52,5,3/1/2022,Homepage,View,173
1080,70,20,3/1/2022,ProductPage,View,216
929,79,19,3/1/2022,Homepage,View,218
2717,14,12,3/2/2022,Homepage,View,291
3456,56,12,3/2/2022,Homepage,Click,289
3262,80,17,3/2/2022,Homepage,Click,295
3312,1,2,3/3/2022,ProductPage,View,40
2631,7,1,3/3/2022,Homepage,Click,30
1165,24,8,3/3/2022,Homepage,Click,203
2416,29,20,3/3/2022,ProductPage,Click,163
169,40,19,3/3/2022,homepage,View,255
205,41,19,3/3/2022,homepage,View,282
3759,15,1,3/4/2022,Homepage,View,51
3329,21,16,3/4/2022,Homepage,View,255
1241,57,1,3/4/2022,ProductPage,Click,257
367,61,18,3/4/2022,Homepage,View,272
3609,14,5,3/5/2022,Checkout,Drop-off,170
3717,22,1,3/5/2022,ProductPage,View,273
1897,32,11,3/5/2022,productpage,View,272
1144,50,2,3/5/2022,Homepage,View,46
2021,92,20,3/5/2022,Homepage,View,158
485,100,4,3/5/2022,ProductPage,Click,101
108,14,5,3/6/2022,ProductPage,View,245
3480,40,6,3/6/2022,Checkout,Purchase,181
530,76,8,3/6/2022,Homepage,View,159
3503,88,12,3/6/2022,Checkout,Drop-off,159
2323,91,3,3/6/2022,Homepage,View,51
1493,23,7,3/7/2022,Homepage,View,186
3833,29,14,3/7/2022,Checkout,Drop-off,206.33
616,64,16,3/7/2022,Checkout,Purchase,214
3044,88,5,3/7/2022,Checkout,Purchase,219
3214,89,1,3/7/2022,Checkout,Drop-off,206.33
1738,44,10,3/8/2022,ProductPage,Click,244
1788,77,7,3/8/2022,Homepage,Click,263
2814,9,13,3/9/2022,ProductPage,View,78
3197,82,17,3/9/2022,ProductPage,View,233
2069,89,12,3/9/2022,ProductPage,View,123
265,99,16,3/9/2022,Homepage,Click,235
2904,48,5,3/10/2022,Checkout,Drop-off,0
2040,1,1,3/11/2022,Homepage,Click,26
3241,69,20,3/11/2022,Homepage,View,296
2905,18,1,3/12/2022,Checkout,Drop-off,116.5
732,68,16,3/12/2022,ProductPage,View,213
2231,70,2,3/12/2022,Homepage,View,20
3330,16,5,3/13/2022,Checkout,Drop-off,0
3747,4,3,3/14/2022,ProductPage,View,82
2751,42,11,3/14/2022,checkout,Drop-off,188
396,62,9,3/14/2022,ProductPage,View,238
1359,62,15,3/14/2022,Homepage,Click,217
3707,65,10,3/14/2022,productpage,Click,242
2975,88,11,3/14/2022,Homepage,View,102
3164,95,15,3/14/2022,Homepage,View,247
1870,8,14,3/15/2022,Homepage,View,241
1058,19,13,3/15/2022,Homepage,Click,178
2882,63,14,3/15/2022,Checkout,Drop-off,211.33
2663,72,2,3/15/2022,Checkout,Drop-off,211.33
107,76,19,3/15/2022,ProductPage,View,215
1840,2,8,3/16/2022,Homepage,View,195
600,21,11,3/16/2022,Homepage,View,123
1945,22,10,3/16/2022,Homepage,View,68
1193,28,3,3/16/2022,ProductPage,View,291
2132,13,4,3/17/2022,ProductPage,View,22
2500,22,9,3/17/2022,ProductPage,View,17
2185,39,12,3/17/2022,ProductPage,Click,57
397,54,15,3/17/2022,Homepage,Click,239
2889,59,4,3/17/2022,Homepage,View,230
1700,82,16,3/17/2022,ProductPage,View,11
554,95,7,3/17/2022,Homepage,View,266
3268,99,18,3/17/2022,Checkout,Drop-off,120.29
1846,21,2,3/18/2022,ProductPage,View,197
1497,32,8,3/18/2022,ProductPage,View,119
1460,65,14,3/18/2022,Checkout,Drop-off,90
3904,74,13,3/18/2022,ProductPage,Click,27
1613,78,7,3/18/2022,ProductPage,Click,17
3036,32,20,3/19/2022,ProductPage,View,109
2942,74,7,3/19/2022,Checkout,Purchase,296
584,75,7,3/19/2022,Homepage,View,167
3081,5,2,3/20/2022,Homepage,Click,237
2459,42,15,3/20/2022,Homepage,View,188
592,53,14,3/20/2022,ProductPage,Click,250
879,64,15,3/20/2022,checkout,Drop-off,208.25
2361,71,20,3/20/2022,Homepage,View,158
829,8,8,3/21/2022,Homepage,Click,295
619,23,10,3/21/2022,ProductPage,View,300
3603,35,20,3/21/2022,ProductPage,View,266
403,47,2,3/21/2022,ProductPage,View,112
3303,78,12,3/21/2022,Homepage,Click,113
317,13,6,3/22/2022,Homepage,View,88
3242,22,8,3/22/2022,ProductPage,View,26
1815,81,3,3/22/2022,ProductPage,View,58
369,89,4,3/22/2022,ProductPage,View,192
1662,24,5,3/23/2022,Homepage,View,253
3370,48,7,3/23/2022,Checkout,Drop-off,245.33
1694,89,17,3/23/2022,ProductPage,View,216
1441,91,9,3/23/2022,ProductPage,View,267
1439,53,20,3/24/2022,ProductPage,View,285
474,59,3,3/24/2022,ProductPage,Click,72
2472,61,20,3/24/2022,Homepage,Click,108
1489,67,14,3/24/2022,ProductPage,View,36
1899,92,1,3/24/2022,ProductPage,View,33
1111,5,17,3/25/2022,Homepage,View,164
3459,37,9,3/25/2022,Checkout,Drop-off,178
3028,52,9,3/25/2022,ProductPage,View,192
1222,9,1,3/27/2022,homepage,Click,238
2273,65,18,3/28/2022,ProductPage,View,70
3758,87,8,3/28/2022,ProductPage,View,250
295,92,19,3/28/2022,Checkout,Purchase,220
3837,94,5,3/28/2022,Homepage,View,218
1060,8,13,3/29/2022,Homepage,Click,264
1927,48,12,3/29/2022,ProductPage,View,189
3698,94,11,3/29/2022,Homepage,View,76
1921,28,12,3/30/2022,ProductPage,Click,172
3327,78,12,3/30/2022,ProductPage,View,283
3767,82,15,3/30/2022,ProductPage,Click,39
3253,90,2,3/30/2022,Homepage,Click,11
1857,95,18,3/30/2022,ProductPage,View,216
192,82,3,3/31/2022,Checkout,Purchase,118
652,95,9,3/31/2022,Homepage,Click,175
3040,97,12,3/31/2022,Checkout,Purchase,207
1255,27,12,4/1/2022,ProductPage,Click,166
883,34,20,4/1/2022,ProductPage,View,276
1671,35,5,4/1/2022,ProductPage,Click,112
1765,87,5,4/1/2022,ProductPage,View,283
3736,19,12,4/2/2022,Homepage,View,79
673,80,1,4/2/2022,Homepage,View,169
429,100,15,4/2/2022,homepage,Click,97
3417,34,20,4/3/2022,ProductPage,Click,59
1206,41,20,4/3/2022,Homepage,Click,282
3733,47,1,4/3/2022,Homepage,View,223
1784,50,13,4/3/2022,Checkout,Drop-off,209.5
168,88,17,4/3/2022,ProductPage,View,274
3862,43,9,4/4/2022,Homepage,View,123
873,52,15,4/4/2022,ProductPage,Click,74
3323,56,19,4/4/2022,Homepage,View,86
1005,61,11,4/4/2022,Checkout,Drop-off,127.6
3131,65,20,4/4/2022,Checkout,Drop-off,127.6
1096,70,15,4/4/2022,Homepage,Click,225
31,81,19,4/4/2022,Homepage,View,130
3104,2,20,4/5/2022,Homepage,View,21
1706,22,13,4/5/2022,Homepage,View,278
800,97,1,4/5/2022,Checkout,Drop-off,115.75
2935,99,3,4/5/2022,Homepage,Click,82
813,23,1,4/6/2022,Checkout,Drop-off,122.33
1933,23,14,4/6/2022,Homepage,Click,111
3023,62,2,4/6/2022,Homepage,Click,20
3007,63,17,4/6/2022,ProductPage,View,236
2267,29,18,4/7/2022,Homepage,Click,194
950,35,14,4/7/2022,Checkout,Purchase,171
1900,48,10,4/7/2022,Homepage,View,236
363,80,10,4/7/2022,ProductPage,View,123
1132,88,16,4/7/2022,ProductPage,Click,247
1721,98,13,4/7/2022,Homepage,View,112
657,55,13,4/8/2022,ProductPage,View,105
1471,87,20,4/8/2022,ProductPage,View,274
1287,94,14,4/8/2022,Checkout,Drop-off,189.5
548,84,17,4/9/2022,Homepage,View,254
49,93,14,4/9/2022,Homepage,Click,69
1417,18,16,4/10/2022,ProductPage,Click,102
2863,28,10,4/10/2022,Homepage,Click,266
288,6,1,4/11/2022,Homepage,Click,128
1036,22,7,4/11/2022,ProductPage,Click,30
2320,65,18,4/11/2022,Homepage,Click,176
1112,79,11,4/11/2022,ProductPage,View,70
1986,98,4,4/11/2022,Homepage,Click,128
524,34,13,4/12/2022,Homepage,View,65
2661,41,9,4/12/2022,ProductPage,View,260
3662,65,8,4/12/2022,Checkout,Purchase,81
290,49,20,4/13/2022,Checkout,Drop-off,276
1642,70,10,4/13/2022,Homepage,View,276
3693,28,3,4/14/2022,ProductPage,View,166
1598,43,2,4/14/2022,Homepage,View,95
3351,60,7,4/14/2022,Homepage,Click,104
389,63,4,4/14/2022,ProductPage,View,276
3496,65,15,4/14/2022,ProductPage,Click,186
3035,7,7,4/15/2022,homepage,View,130
2617,12,19,4/15/2022,ProductPage,View,142
1013,21,20,4/15/2022,ProductPage,View,201
1781,91,5,4/15/2022,ProductPage,View,90
1285,96,14,4/15/2022,ProductPage,View,220
941,83,5,4/16/2022,Homepage,View,125
1518,94,16,4/16/2022,Homepage,View,223
1332,40,8,4/17/2022,Checkout,Drop-off,163
3049,49,15,4/17/2022,Checkout,Purchase,283
2954,54,15,4/17/2022,Checkout,Drop-off,163
2280,90,16,4/17/2022,Homepage,Click,183
3861,95,20,4/17/2022,Homepage,View,23
3439,30,11,4/18/2022,Checkout,Drop-off,126
3292,42,17,4/18/2022,Homepage,Click,141
1650,77,7,4/18/2022,Homepage,Click,111
1031,87,13,4/18/2022,Checkout,Drop-off,126
3020,5,15,4/19/2022,Homepage,View,164
1159,11,12,4/19/2022,Homepage,Click,20
692,20,8,4/19/2022,ProductPage,View,16
3857,28,2,4/19/2022,ProductPage,Drop-off,108.2
696,61,16,4/19/2022,ProductPage,View,179
3577,65,18,4/19/2022,Checkout,Drop-off,108.2
668,92,3,4/19/2022,checkout,Drop-off,108.2
1443,97,12,4/19/2022,ProductPage,View,162
682,5,4,4/20/2022,ProductPage,Click,127
979,30,8,4/20/2022,Homepage,Click,13
2967,81,2,4/20/2022,ProductPage,View,120
3716,86,6,4/20/2022,ProductPage,View,129
2046,93,12,4/20/2022,ProductPage,View,77
1639,6,4,4/21/2022,ProductPage,View,167
206,39,5,4/21/2022,ProductPage,View,118
147,86,18,4/21/2022,Homepage,View,294
1908,6,7,4/22/2022,ProductPage,View,172
404,30,13,4/22/2022,Homepage,View,112
3743,60,19,4/22/2022,ProductPage,View,56
202,87,12,4/22/2022,ProductPage,View,145
1949,25,2,4/23/2022,Homepage,View,238
2542,41,2,4/23/2022,Homepage,Click,289
2590,48,17,4/23/2022,Homepage,Click,176
1655,56,8,4/23/2022,Homepage,View,51
2633,94,4,4/23/2022,ProductPage,Click,56
2135,53,19,4/24/2022,Homepage,View,272
2155,70,14,4/24/2022,ProductPage,View,126
818,80,3,4/24/2022,Homepage,View,206
3804,88,12,4/24/2022,ProductPage,View,260
3222,24,13,4/25/2022,ProductPage,Click,116
1391,44,12,4/25/2022,ProductPage,View,287
2624,48,1,4/25/2022,Homepage,View,167
1181,10,15,4/26/2022,Homepage,View,59
3821,25,16,4/26/2022,ProductPage,Click,200
958,44,6,4/26/2022,Homepage,Click,235
662,73,6,4/26/2022,ProductPage,View,195
606,74,3,4/26/2022,ProductPage,View,108
2487,82,5,4/26/2022,Checkout,Purchase,294
2884,85,9,4/26/2022,ProductPage,Click,78
3112,85,13,4/26/2022,ProductPage,View,237
3484,95,7,4/26/2022,Checkout,Drop-off,175.75
2437,9,12,4/27/2022,checkout,Drop-off,157
924,35,20,4/27/2022,Homepage,Click,70
2700,70,2,4/27/2022,ProductPage,View,199
1942,75,12,4/27/2022,homepage,Click,225
3226,79,15,4/27/2022,Checkout,Drop-off,157
3510,87,19,4/27/2022,Homepage,Click,134
2623,13,15,4/28/2022,Homepage,View,138
3393,16,3,4/28/2022,ProductPage,View,216
3487,35,16,4/28/2022,Checkout,Drop-off,199.2
1419,82,1,4/28/2022,Homepage,Click,140
1615,88,6,4/28/2022,Checkout,Purchase,244
1558,93,16,4/28/2022,ProductPage,View,258
1217,6,10,4/29/2022,Homepage,View,66
68,45,16,4/29/2022,ProductPage,Click,250
3174,1,15,5/1/2022,Homepage,View,239
3901,3,4,5/1/2022,Homepage,View,69
3678,67,3,5/1/2022,productpage,Click,96
900,68,9,5/1/2022,Homepage,View,119
3925,89,4,5/1/2022,Checkout,Drop-off,130.75
2413,30,14,5/2/2022,ProductPage,View,73
542,43,2,5/2/2022,Homepage,View,16
2968,51,9,5/2/2022,ProductPage,View,209
1191,62,13,5/2/2022,ProductPage,Click,209
2237,72,4,5/2/2022,Homepage,View,52
3087,90,11,5/2/2022,Homepage,View,62
1425,18,11,5/3/2022,ProductPage,View,89
2899,38,13,5/3/2022,ProductPage,Click,100
3153,43,4,5/3/2022,Homepage,View,176
30,48,2,5/3/2022,ProductPage,View,242
3187,48,17,5/3/2022,Homepage,Click,153
104,51,18,5/3/2022,Homepage,Click,156
3674,57,16,5/3/2022,Homepage,View,234
2171,73,7,5/3/2022,Checkout,Drop-off,164.29
2735,57,1,5/4/2022,Checkout,Drop-off,121
2896,87,15,5/4/2022,Homepage,View,91
1293,89,18,5/4/2022,Homepage,View,151
1333,18,9,5/5/2022,ProductPage,View,247
2580,32,7,5/5/2022,Homepage,View,118
1243,45,19,5/5/2022,Homepage,Click,247
2371,65,15,5/6/2022,Checkout,Purchase,67
1937,66,2,5/6/2022,ProductPage,View,225
304,91,12,5/6/2022,ProductPage,View,43
2839,21,18,5/7/2022,Homepage,View,270
487,35,19,5/7/2022,Checkout,Drop-off,257.67
2554,87,9,5/7/2022,checkout,Purchase,224
1168,89,3,5/7/2022,Homepage,View,279
3924,84,16,5/8/2022,Checkout,Drop-off,130
2764,91,6,5/8/2022,ProductPage,Click,130
3284,36,19,5/9/2022,ProductPage,View,64
2807,73,19,5/10/2022,ProductPage,View,215
763,84,7,5/10/2022,ProductPage,View,15
2955,10,3,5/11/2022,Homepage,Click,267
3083,44,19,5/11/2022,Checkout,Drop-off,259.5
233,92,15,5/11/2022,ProductPage,View,252
901,95,20,5/11/2022,Checkout,Drop-off,259.5
3858,7,14,5/12/2022,Homepage,View,125
1470,26,4,5/12/2022,ProductPage,View,220
1337,41,5,5/12/2022,ProductPage,View,109
3421,76,11,5/12/2022,Checkout,Drop-off,173.67
176,80,6,5/12/2022,Checkout,Drop-off,173.67
155,82,2,5/12/2022,Homepage,View,195
1822,84,4,5/12/2022,ProductPage,View,233
1614,94,10,5/12/2022,ProductPage,Click,160
2645,4,2,5/13/2022,Homepage,View,270
2261,93,13,5/13/2022,ProductPage,Click,74
2235,13,8,5/14/2022,Checkout,Drop-off,211
1377,30,16,5/14/2022,Homepage,View,134
491,77,19,5/14/2022,Checkout,Drop-off,211
3455,88,15,5/14/2022,Homepage,Click,288
312,9,11,5/15/2022,Checkout,Purchase,165
1997,31,7,5/15/2022,ProductPage,View,236
3145,53,13,5/15/2022,ProductPage,View,50
3271,61,19,5/15/2022,Homepage,Click,263
2740,80,9,5/15/2022,Homepage,Click,140
1040,83,9,5/15/2022,Checkout,Drop-off,170.8
1383,54,18,5/16/2022,ProductPage,View,164
3014,56,9,5/16/2022,productpage,View,246
3465,86,15,5/16/2022,ProductPage,View,189
1636,100,15,5/16/2022,Homepage,View,151
2068,26,14,5/17/2022,Homepage,View,18
2988,46,6,5/17/2022,Checkout,Purchase,43
1234,84,7,5/17/2022,ProductPage,View,130
3778,17,10,5/18/2022,ProductPage,Click,132
1114,41,12,5/18/2022,Homepage,View,174
880,85,2,5/18/2022,Homepage,Click,93
1954,38,11,5/19/2022,Homepage,View,89
2222,84,3,5/19/2022,Homepage,Click,222
3426,32,1,5/20/2022,Homepage,Click,35
67,25,1,5/21/2022,ProductPage,Click,57
3116,32,4,5/21/2022,Checkout,Drop-off,57
1432,21,17,5/22/2022,Homepage,View,161
2014,59,5,5/22/2022,Checkout,Drop-off,161
441,3,5,5/23/2022,ProductPage,View,51
2730,32,18,5/23/2022,Homepage,Click,163
1490,85,8,5/23/2022,Homepage,View,279
1097,89,8,5/23/2022,Homepage,View,132
547,15,7,5/24/2022,ProductPage,View,13
3412,72,2,5/24/2022,Homepage,Click,226
2099,89,15,5/24/2022,Homepage,View,185
1769,42,20,5/25/2022,ProductPage,View,242
2347,92,14,5/25/2022,ProductPage,View,158
85,56,4,5/26/2022,Homepage,Click,166
2253,57,15,5/26/2022,ProductPage,View,274
